entrada	boleto	7.69
alcohol	química	5.54
aluminio	metal	7.83
anuncio	esfuerzo	2.75
anuncio	noticias	7.56
anuncio	producción	3.38
anuncio	advertencia	6
Arafat	Jackson	2.5
Arafat	paz	6.73
Arafat	terror	7.65
arquitectura	siglo	3.78
alojamiento	arreglo	5.41
llegada	hotel	6
Asilo	manicomio	8.87
atmosfera	paisaje	3.69
intento	paz	4.25
bebé	madre	7.85
banco	dinero	8.12
béisbol	temporada	5.97
cama	armario	6.72
referencia	índice	4.25
pájaro	gallo	7.1
pájaro	grulla	7.38
obispo	rabino	6.69
junta	recomendación	4.47
libro	biblioteca	7.46
libro	papel	7.46
boxeo	ronda	7.61
chico	muchacho	8.83
pan	mantequilla	6.19
hermano	monje	6.27
cálculo	computo	8.44
canon	paisaje	7.53
coche	automóvil	8.94
carro	vuelo	4.94
célula	teléfono	7.81
cementerio	bosque	2.08
siglo	nación	3.16
siglo	año	7.59
campeonato	torneo	8.36
oportunidad	credibilidad	3.88
actitud	cambio	5.44
acorde	sonrisa	0.54
armario	ropa	8
costa	bosque	3.15
costa	colina	4.38
costa	orilla	9.1
compañía	acción	7.08
competencia	precio	6.44
ordenador	internet	7.58
computador	teclado	7.62
computadora	laboratorio	6.78
computadora	noticias	4.47
computadora	software	8.5
concierto	virtuoso	6.81
consumidor	confianza	4.13
consumidor	energía	4.75
país	ciudadano	7.31
grúa	implemento	2.69
crédito	tarjeta	8.06
crédito	información	5.31
pepino	papa	5.92
taza	artículo	2.4
taza	artefacto	2.92
taza	café	6.58
taza	bebida	7.25
taza	entidad	2.15
copa	comida	5
taza	liquido	5.9
taza	objeto	3.69
taza	sustancia	1.92
taza	vajilla	6.85
moneda	mercado	7.5
amanecer	día	7.53
día	verano	3.94
muerte	recluso	5.03
muerte	fila	5.25
decoración	valor	5.63
retraso	noticias	3.31
retraso	racismo	1.19
partida	despliegue	4.25
despliegue	retirada	5.88
desarrollo	problema	3.97
dirección	combinación	2.25
discapacidad	muerte	5.47
desastre	área	6.25
descubrimiento	espacio	6.34
dividendo	cálculo	6.48
dividendo	pago	7.63
doctor	responsabilidad	5.19
doctor	enfermera	7
doctor	personal	5
dólar	ficha	9.22
dólar	perdida	6.09
dólar	beneficio	7.38
dólar	yen	7.78
beber	coche	3.04
bebida	oreja	1.31
beber	comer	6.87
bebida	madre	2.65
bebida	boca	5.96
droga	abuso	6.85
energía	crisis	5.94
energía	laboratorio	5.09
energía	secretaria	1.81
ambiente	ecología	8.81
equipo	fabricante	5.91
exhibición	recuerdos	5.31
experiencia	música	3.47
familia	planificación	6.25
policía	prueba	6.94
policía	investigación	8.31
huevo	fertilidad	6.69
peleando	derrotar	7.41
cinco	mes	3.38
foco	vida	4.06
comida	fruta	7.52
comida	preparación	6.22
comida	gallo	4.42
fútbol	baloncesto	6.81
rugby	fútbol	9.03
fútbol	tenis	6.63
forestales	cementerio	1.85
follar	sexo	9.44
horno	estufa	8.79
derrota	juego	6.97
juego	ronda	5.97
juego	serie	6.19
juego	equipo	7.69
juego	victoria	7.03
gema	joya	8.96
genero	igualdad	6.41
vidrio	mago	2.08
vidrio	metal	5.56
gobierno	crisis	6.56
gobernador	entrevista	3.25
gobernador	oficina	6.34
comestibles	dinero	5.94
Harvard	Yale	8.13
sagrado	sexo	1.62
hospital	infraestructura	4.63
hotel	reserva	8.03
ciento	porcentaje	7.38
imagen	superficie	4.56
imparcialidad	interés	5.16
esfuerzo	investigación	4.59
inversionista	ganancia	7.13
jaguar	coche	7.27
jaguar	gato	7.42
Japonés	americano	6.5
Jerusalén	Israel	8.46
Jerusalén	Palestino	7.65
diario	asociación	4.97
coche	viaje	5.85
viaje	pasaje	9.29
rey	repollo	0.23
rey	reina	8.58
rey	torre	5.92
hermano	muchacho	4.46
muchacho	hechicero	0.92
ley	abogado	8.38
abogado	evidencia	6.69
responsabilidad	seguro	7.03
vida	muerte	7.88
vida	lección	5.94
vida	termino	4.5
seguro	línea	2.69
liquido	agua	7.89
listado	categoría	6.38
listado	proximidad	2.56
langosta	comida	7.81
langosta	vino	5.7
amor	sexo	6.77
amante	pelea	6.19
lujo	coche	6.47
mago	hechicero	9.02
hombre	gobernador	5.25
hombre	mujer	8.3
Maradona	fútbol	8.62
maratón	esprint	7.47
Marte	científico	5.63
Marte	agua	2.94
medios	ganancia	2.88
medios	radio	7.42
medios	comercio	3.88
Méjico	Brasil	7.44
mediodía	mediodía	9.29
milla	kilómetro	8.66
ministro	partido	6.63
ministerio	cultura	4.69
minoría	paz	3.69
dinero	banco	8.5
dinero	efectivo	9.15
dinero	moneda	9.04
dinero	deposito	7.73
dinero	dólar	8.42
dinero	blanqueo	5.65
dinero	operación	3.31
dinero	posesión	7.29
dinero	propiedad	7.57
dinero	riqueza	8.27
dinero	retiro	6.88
monje	oráculo	5
monje	esclavo	0.92
mes	hotel	1.81
moralidad	importancia	3.31
moralidad	matrimonio	3.69
película	crítico	6.73
película	rosetas	6.19
película	estrella	7.38
película	teatro	7.92
homicidio	asesinato	8.53
museo	teatro	7.19
música	proyecto	3.63
naturaleza	ambiente	8.31
naturaleza	hombre	6.25
red	hardware	8.31
noticias	informe	8.16
mediodía	cuerda	0.54
observación	arquitectura	4.38
petróleo	acción	6.34
cartel	país	5.63
cartel	petróleo	8.59
ópera	industria	2.63
ópera	actuación	6.88
paz	atmosfera	3.69
paz	seguro	2.94
paz	plan	4.75
teléfono	equipo	7.13
física	química	7.35
física	protón	8.12
avión	carro	5.77
planeta	astrónomo	7.94
planeta	constelación	8.06
planeta	galaxia	8.11
planeta	luna	8.08
planeta	gente	5.75
planeta	espacio	7.92
planeta	estrella	8.45
planeta	sol	8.02
población	desarrollo	3.75
posibilidad	muchacha	1.94
práctica	institución	3.19
precedente	antecedente	6.04
precedente	cognición	2.81
precedente	colección	2.5
precedente	ejemplo	5.85
precedente	grupo	1.77
precedente	información	3.85
precedente	ley	6.65
prejuicio	reconocimiento	3
preservación	mundo	6.19
presidente	medalla	3
problema	aeropuerto	2.38
problema	desafío	6.75
producción	tripulación	6.25
producción	caminata	1.75
profesor	pepino	0.31
profesor	doctor	6.62
ganancia	perdida	7.63
ganancia	advertencia	3.88
psicología	ansiedad	7
psicología	clínica	6.58
psicología	cognición	7.48
psicología	depresión	7.42
psicología	disciplina	5.58
psicología	doctor	6.42
psicología	miedo	6.85
psicología	Freud	8.21
psicología	salud	7.23
psicología	mente	7.69
psicología	psiquiatría	8.08
psicología	ciencia	6.71
razón	criterio	5.91
razón	hipertensión	2.31
registro	número	6.31
registro	arreglo	6
informe	ganancia	3.63
rock	jazz	7.59
gallo	viaje	0.62
escuela	centro	3.44
marisco	comida	8.34
marisco	langosta	8.7
marisco	mar	7.47
