intrare	bilet	7.69
alcool	chimie	5.54
aluminiu	metal	7.83
anunţ	efort	2.75
anunţ	ştiri	7.56
anunţ	producţie	3.38
anunţ	avertisment	6
Arafat	Jackson	2.5
Arafat	pace	6.73
Arafat	teroare	7.65
arhitectură	secol	3.78
aranjament	cazare	5.41
sosire	hotel	6
azil	sanatoriu	8.87
atmosferă	peisaj	3.69
încercare	pace	4.25
bebeluş	mamă	7.85
bancă	bani	8.12
baseball	sezon	5.97
pat	dulap	6.72
etalon	index	4.25
pasăre	cocoş	7.1
pasăre	cocor	7.38
episcop	rabin	6.69
consiliu	recomandare	4.47
carte	bibliotecă	7.46
carte	hârtie	7.46
box	partidă	7.61
băiat	fecior	8.83
pâine	unt	6.19
frate	călugăr	6.27
calcul	evaluare	8.44
canion	peisaj	7.53
maşină	automobil	8.94
maşină	zbor	4.94
celular	telefon	7.81
cimitir	împădurire	2.08
secol	naţiune	3.16
secol	an	7.59
campionat	turneu	8.36
şansă	credibilitate	3.88
schimbare	atitudine	5.44
coardă	zâmbet	0.54
dulap	haine	8
ţărm	pădure	3.15
ţărm	deal	4.38
ţărm	mal	9.1
societate	acţiune	7.08
competiţie	preţ	6.44
calculator	internet	7.58
calculator	tastatură	7.62
calculator	laborator	6.78
calculator	ştiri	4.47
calculator	software	8.5
concert	virtuoso	6.81
consumator	încredere	4.13
consumator	energie	4.75
ţară	cetăţean	7.31
macara	unealtă	2.69
împrumut	card	8.06
împrumut	informaţie	5.31
castravete	cartof	5.92
ceaşcă	articol	2.4
ceaşcă	artifact	2.92
ceaşcă	cafea	6.58
ceaşcă	băutură	7.25
ceaşcă	entitate	2.15
ceaşcă	mâncare	5
ceaşcă	lichid	5.9
ceaşcă	obiect	3.69
ceaşcă	substanţă	1.92
ceaşcă	veselă	6.85
monedă	bursă	7.5
ziuă	zori	7.53
ziuă	vară	3.94
moarte	rezident	5.03
moarte	rând	5.25
decoraţie	vitejie	5.63
întârziere	ştiri	3.31
întârziere	rasism	1.19
detaşare	plecare	4.25
detaşare	retragere	5.88
dezvoltare	problemă	3.97
direcţie	combinaţie	2.25
handicap	deces	5.47
calamitate	zonă	6.25
descoperire	spaţiu	6.34
dividend	calcul	6.48
dividend	plată	7.63
doctor	răspundere	5.19
doctor	asistentă	7
doctor	personal	5
dolar	bancnotă	9.22
dolar	pierdere	6.09
dolar	profit	7.38
dolar	yen	7.78
băutură	maşină	3.04
băutură	ureche	1.31
băutură	mânca	6.87
băutură	mamă	2.65
băutură	gură	5.96
narcotic	abuz	6.85
energie	criză	5.94
energie	laborator	5.09
energie	secretar	1.81
mediu	ecologie	8.81
echipament	producător	5.91
expoziţie	suveniruri	5.31
experienţă	muzică	3.47
familie	planificare	6.25
FBI	anchetă	6.94
FBI	investigaţie	8.31
fertilitate	ovul	6.69
luptă	învins	7.41
cinci	lună	3.38
concentrare	viaţă	4.06
mâncare	fruct	7.52
mâncare	preparare	6.22
mâncare	cocoş	4.42
rugby	baschet	6.81
rugby	fotbal	9.03
rugby	tenis	6.63
pădure	cimitir	1.85
copula	sex	9.44
sobă	cuptor	8.79
joc	învingere	6.97
joc	partidă	5.97
joc	serie	6.19
joc	echipă	7.69
joc	victorie	7.03
nestemată	bijuterie	8.96
gen	egalitate	6.41
sticlă	magician	2.08
sticlă	metal	5.56
guvern	criză	6.56
guvernator	interviu	3.25
guvernator	birou	6.34
alimentară	bani	5.94
Harvard	Yale	8.13
sfânt	sex	1.62
spital	infrastructură	4.63
hotel	rezervare	8.03
sută	procent	7.38
imagine	suprafaţă	4.56
imparţialitate	interes	5.16
investigaţie	efort	4.59
investitor	venit	7.13
jaguar	maşină	7.27
jaguar	pisică	7.42
japonez	american	6.5
Ierusalim	Israel	8.46
Ierusalim	palestinian	7.65
jurnal	asociaţie	4.97
călătorie	maşină	5.85
călătorie	voiaj	9.29
rege	varză	0.23
rege	regină	8.58
rege	turn	5.92
fecior	frate	4.46
fecior	vrăjitor	0.92
lege	avocat	8.38
avocat	dovadă	6.69
răspundere	asigurare	7.03
viaţă	moarte	7.88
viaţă	lecţie	5.94
viaţă	termen	4.5
limită	asigurare	2.69
lichid	apă	7.89
listare	categorie	6.38
listare	proximitate	2.56
homar	mâncare	7.81
homar	vin	5.7
dragoste	sex	6.77
amant	ceartă	6.19
lux	maşină	6.47
magician	vrăjitor	9.02
bărbat	guvernator	5.25
bărbat	femeie	8.3
Maradona	rugby	8.62
maraton	sprint	7.47
Marte	cercetător	5.63
Marte	apă	2.94
media	câştig	2.88
media	radio	7.42
media	schimburi	3.88
Mexic	Brazilia	7.44
amiază	prânz	9.29
milă	kilometru	8.66
ministru	partid	6.63
minister	cultură	4.69
minoritate	pace	3.69
bani	bancă	8.5
bani	numerar	9.15
bani	monedă	9.04
bani	depozit	7.73
bani	dolar	8.42
bani	spălare	5.65
bani	operaţiune	3.31
bani	posesie	7.29
bani	proprietate	7.57
bani	bogăţie	8.27
bani	scoate	6.88
călugăr	oracol	5
călugăr	sclav	0.92
lună	hotel	1.81
moralitate	importanţă	3.31
moralitate	căsătorie	3.69
film	critic	6.73
film	floricele	6.19
film	vedetă	7.38
film	cinema	7.92
crimă	omor	8.53
muzeu	cinema	7.19
muzică	proiect	3.63
natură	mediu	8.31
natură	bărbat	6.25
reţea	hardware	8.31
ştiri	reportaj	8.16
prânz	şir	0.54
observaţie	arhitectură	4.38
petrol	acţiune	6.34
OPEC	ţară	5.63
OPEC	petrol	8.59
operă	industrie	2.63
operă	performanţă	6.88
pace	atmosferă	3.69
pace	asigurare	2.94
pace	plan	4.75
telefon	echipament	7.13
fizică	chimie	7.35
fizică	proton	8.12
avion	maşină	5.77
planetă	astronaut	7.94
planetă	constelaţie	8.06
planetă	galaxie	8.11
planetă	lună	8.08
planetă	oameni	5.75
planetă	spaţiu	7.92
planetă	stea	8.45
planetă	soare	8.02
populaţie	dezvoltare	3.75
posibilitate	fată	1.94
practică	instituţie	3.19
precedent	antecedent	6.04
precedent	cunoaştere	2.81
precedent	colecţie	2.5
precedent	exemplu	5.85
precedent	grup	1.77
precedent	informaţie	3.85
precedent	lege	6.65
prejudiciu	renume	3
conservare	lume	6.19
preşedinte	medalie	3
problemă	aeroport	2.38
problemă	provocare	6.75
producţie	echipă	6.25
fabricaţie	excursie	1.75
profesor	castravete	0.31
profesor	doctor	6.62
profit	pierdere	7.63
profit	avertisment	3.88
psihologie	anxietate	7
psihologie	clinică	6.58
psihologie	cogniţie	7.48
psihologie	depresie	7.42
psihologie	disciplină	5.58
psihologie	doctor	6.42
psihologie	frică	6.85
psihologie	Freud	8.21
psihologie	sănătate	7.23
psihologie	minte	7.69
psihologie	psihiatrie	8.08
psihologie	ştiinţă	6.71
judecată	criteriu	5.91
judecată	hipertensiune	2.31
record	număr	6.31
înregistrare	aranjament	6
raport	câştig	3.63
rock	jazz	7.59
cocoş	voiaj	0.62
şcoală	centru	3.44
peşte	mâncare	8.34
peşte	homar	8.7
peşte	mare	7.47
secretar	senat	5.06
şapte	serie	3.56
mal	împădurire	3.08
ploaie	inundaţie	6.03
ploaie	furtună	6.31
semn	nişă	2.38
situaţie	concluzie	4.81
situaţie	izolare	3.88
mărime	importanţă	5.31
piele	ochi	6.22
deştept	student	4.62
deştept	prost	5.81
uşor	operă	7.94
spaţiu	chimie	4.88
spaţiu	lume	6.53
început	meci	4.47
început	an	4.06
acţiune	casetă	1.31
acţiune	omletă	1.81
acţiune	jaguar	0.92
acţiune	viaţă	0.92
acţiune	trăi	3.73
acţiune	bursă	8.08
acţiune	telefon	1.62
stradă	bulevard	8.88
stradă	bloc	6.88
stradă	copii	4.94
stradă	loc	6.44
astm	spital	7.03
student	profesor	6.81
zahăr	apropia	0.88
vară	secetă	7.16
vară	natură	5.63
telefon	dialog	7.5
televiziune	film	7.72
televizor	radio	6.77
tenis	rachetă	7.56
teritoriu	kilometru	5.28
teritoriu	suprafaţă	5.34
cinema	istorie	3.91
tigru	animal	7
tigru	carnivor	7.08
tigru	pisică	7.35
tigru	faună	5.62
tigru	felină	8
tigru	jaguar	8
tigru	mamifer	6.85
tigru	organism	4.77
tigru	tigru	10
tigru	rezervaţie	5.87
instrument	unealtă	6.46
tren	maşină	6.31
călătorie	activitate	5
tratament	recuperare	7.91
tip	fel	8.97
victimă	urgenţă	6.47
video	arhivă	6.34
telespectator	serial	2.97
vodcă	coniac	8.13
vodcă	gin	8.46
voluntar	motto	2.56
război	trupe	8.13
apă	scurgere	6.56
FBI	amprentă	6.06
vreme	prognoză	8.34
Miercuri	ştiri	2.22
lemn	pădure	7.73
cuvânt	similaritate	4.75
