entrada	boleto	7.69
alcohol	quimica	5.54
aluminio	metal	7.83
anuncio	esfuerzo	2.75
anuncio	noticias	7.56
anuncio	produccion	3.38
anuncio	advertencia	6
Arafat	Jackson	2.5
Arafat	paz	6.73
Arafat	terror	7.65
arquitectura	siglo	3.78
alojamiento	arreglo	5.41
llegada	hotel	6
asilo	manicomio	8.87
atmosfera	paisaje	3.69
intento	paz	4.25
bebe	madre	7.85
banco	dinero	8.12
beisbol	temporada	5.97
cama	armario	6.72
referencia	indice	4.25
pajaro	gallo	7.1
pajaro	grulla	7.38
obispo	rabino	6.69
junta	recomendacion	4.47
libro	biblioteca	7.46
libro	papel	7.46
boxeo	ronda	7.61
chico	muchacho	8.83
pan	mantequilla	6.19
hermano	monje	6.27
calculo	computo	8.44
canon	paisaje	7.53
coche	automovil	8.94
carro	vuelo	4.94
celula	telefono	7.81
cementerio	bosque	2.08
siglo	nacion	3.16
siglo	ano	7.59
campeonato	torneo	8.36
oportunidad	credibilidad	3.88
actitud	cambio	5.44
acorde	sonrisa	0.54
armario	ropa	8
costa	bosque	3.15
costa	colina	4.38
costa	orilla	9.1
compania	accion	7.08
competencia	precio	6.44
ordenador	internet	7.58
computador	teclado	7.62
computadora	laboratorio	6.78
computadora	noticias	4.47
computadora	software	8.5
concierto	virtuoso	6.81
consumidor	confianza	4.13
consumidor	energia	4.75
pais	ciudadano	7.31
grua	implemento	2.69
credito	tarjeta	8.06
credito	informacion	5.31
pepino	papa	5.92
taza	articulo	2.4
taza	artefacto	2.92
taza	cafe	6.58
taza	bebida	7.25
taza	entidad	2.15
copa	comida	5
taza	liquido	5.9
taza	objeto	3.69
taza	sustancia	1.92
taza	vajilla	6.85
moneda	mercado	7.5
amanecer	dia	7.53
dia	verano	3.94
muerte	recluso	5.03
muerte	fila	5.25
decoracion	valor	5.63
retraso	noticias	3.31
retraso	racismo	1.19
partida	despliegue	4.25
despliege	retirada	5.88
desarrollo	problema	3.97
direccion	combinacion	2.25
discapacidad	muerte	5.47
desastre	area	6.25
descubrimiento	espacio	6.34
dividendo	calculo	6.48
dividendo	pago	7.63
doctor	responsabilidad	5.19
doctor	enfermera	7
doctor	personal	5
dolar	ficha	9.22
dolar	perdida	6.09
dolar	beneficio	7.38
dolar	yen	7.78
beber	coche	3.04
bebida	oreja	1.31
beber	comer	6.87
bebida	madre	2.65
bebida	boca	5.96
droga	abuso	6.85
energia	crisis	5.94
energia	laboratorio	5.09
energia	secretaria	1.81
ambiente	ecologia	8.81
equipo	fabricante	5.91
exhibicion	recuerdos	5.31
experiencia	musica	3.47
familia	planificacion	6.25
policia	prueba	6.94
policia	investigacion	8.31
huevo	fertilidad	6.69
peleando	derrotar	7.41
cinco	mes	3.38
foco	vida	4.06
comida	fruta	7.52
comida	preparacion	6.22
comida	gallo	4.42
futbol	baloncesto	6.81
rugby	futbol	9.03
futbol	tenis	6.63
forestales	cementerio	1.85
follar	sexo	9.44
horno	estufa	8.79
derrota	juego	6.97
juego	ronda	5.97
juego	serie	6.19
juego	equipo	7.69
juego	victoria	7.03
gema	joya	8.96
genero	igualdad	6.41
vidrio	mago	2.08
vidrio	metal	5.56
gobierno	crisis	6.56
gobernador	entrevista	3.25
gobernador	oficina	6.34
comestibles	dinero	5.94
Harvard	Yale	8.13
sagrado	sexo	1.62
hospital	infraestructura	4.63
hotel	reserva	8.03
ciento	porcentaje	7.38
imagen	superficie	4.56
imparcialidad	interes	5.16
esfuerzo	investigacion	4.59
inversionista	ganancia	7.13
jaguar	coche	7.27
jaguar	gato	7.42
Japones	americano	6.5
Jerusalen	Israel	8.46
Jerusalen	Palestino	7.65
diario	asociacion	4.97
coche	viaje	5.85
viaje	pasaje	9.29
rey	repollo	0.23
rey	reina	8.58
rey	torre	5.92
hermano	muchacho	4.46
muchacho	hechicero	0.92
ley	abogado	8.38
abogado	evidencia	6.69
responsabilidad	seguro	7.03
vida	muerte	7.88
vida	leccion	5.94
vida	termino	4.5
seguro	linea	2.69
liquido	agua	7.89
listado	categoria	6.38
listado	proximidad	2.56
langosta	comida	7.81
langosta	vino	5.7
amor	sexo	6.77
amante	pelea	6.19
lujo	coche	6.47
mago	hechicero	9.02
hombre	gobernador	5.25
hombre	mujer	8.3
Maradona	futbol	8.62
maraton	esprint	7.47
Marte	cientifico	5.63
Marte	agua	2.94
medios	ganancia	2.88
medios	radio	7.42
medios	comercio	3.88
Mejico	Brasil	7.44
mediodia	mediodia	9.29
milla	kilometro	8.66
ministro	partido	6.63
ministerio	cultura	4.69
minoria	paz	3.69
dinero	banco	8.5
dinero	efectivo	9.15
dinero	moneda	9.04
dinero	deposito	7.73
dinero	dolar	8.42
dinero	blanqueo	5.65
dinero	operacion	3.31
dinero	posesion	7.29
dinero	propiedad	7.57
dinero	riqueza	8.27
dinero	retiro	6.88
monje	oraculo	5
monje	esclavo	0.92
mes	hotel	1.81
moralidad	importancia	3.31
moralidad	matrimonio	3.69
pelicula	critico	6.73
pelicula	rosetas	6.19
pelicula	estrella	7.38
pelicula	teatro	7.92
homicidio	asesinato	8.53
museo	teatro	7.19
musica	proyecto	3.63
naturaleza	ambiente	8.31
naturaleza	hombre	6.25
red	hardware	8.31
noticias	informe	8.16
mediodia	cuerda	0.54
observacion	arquitectura	4.38
petroleo	accion	6.34
cartel	pais	5.63
cartel	petroleo	8.59
opera	industria	2.63
opera	actuacion	6.88
paz	atmosfera	3.69
paz	seguro	2.94
paz	plan	4.75
telefono	equipo	7.13
fisica	quimica	7.35
fisica	proton	8.12
avion	carro	5.77
planeta	astronomo	7.94
planeta	constelacion	8.06
planeta	galaxia	8.11
planeta	luna	8.08
planeta	gente	5.75
planeta	espacio	7.92
planeta	estrella	8.45
planeta	sol	8.02
poblacion	desarrollo	3.75
posibilidad	muchacha	1.94
practica	institucion	3.19
precedente	antecedente	6.04
precedente	cognicion	2.81
precedente	coleccion	2.5
precedente	ejemplo	5.85
precedente	grupo	1.77
precedente	informacion	3.85
precedente	ley	6.65
prejuicio	reconocimiento	3
preservacion	mundo	6.19
presidente	medalla	3
problema	aeropuerto	2.38
problema	desafio	6.75
produccion	tripulacion	6.25
produccion	caminata	1.75
profesor	pepino	0.31
profesor	doctor	6.62
ganancia	perdida	7.63
ganancia	advertencia	3.88
psicologia	ansiedad	7
psicologia	clinica	6.58
psicologia	cognicion	7.48
psicologia	depresion	7.42
psicologia	disciplina	5.58
psicologia	doctor	6.42
psicologia	miedo	6.85
psicologia	Freud	8.21
psicologia	salud	7.23
psicologia	mente	7.69
psicologia	psiquiatria	8.08
psicologia	ciencia	6.71
razon	criterio	5.91
razon	hipertension	2.31
registro	numero	6.31
registro	arreglo	6
informe	ganancia	3.63
rock	jazz	7.59
gallo	viaje	0.62
escuela	centro	3.44
marisco	comida	8.34
marisco	langosta	8.7
marisco	mar	7.47
secretario	senado	5.06
siete	serie	3.56
orilla	bosque	3.08
aguacero	inundacion	6.03
aguacero	tormenta	6.31
signo	receso	2.38
situacion	conclusion	4.81
situacion	aislamiento	3.88
tamano	prominencia	5.31
piel	ojo	6.22
elegante	estudiante	4.62
elegante	estupido	5.81
telenovela	opera	7.94
espacio	quimica	4.88
espacio	mundo	6.53
inicio	competencia	4.47
inicio	ano	4.06
accion	cinta	1.31
accion	huevo	1.81
ganado	jaguar	0.92
ganado	vida	0.92
ganado	vivo	3.73
accion	mercado	8.08
accion	telefono	1.62
calle	avenida	8.88
calle	cuadra	6.88
calle	ninos	4.94
calle	lugar	6.44
ataque	hospital	7.03
estudiante	profesor	6.81
azucar	acercamiento	0.88
verano	sequia	7.16
verano	naturaleza	5.63
telefono	comunicacion	7.5
telefono	pelicula	7.72
television	radio	6.77
tenis	raqueta	7.56
territorio	kilometro	5.28
territorio	superficie	5.34
teatro	historia	3.91
tigre	animal	7
tigre	carnivoro	7.08
tigre	gato	7.35
tigre	fauna	5.62
tigre	felino	8
tigre	jaguar	8
tigre	mamifero	6.85
tigre	organismo	4.77
tigre	tigre	10
tigre	zoo	5.87
herramienta	implementar	6.46
tren	coche	6.31
viaje	actividad	5
tratamiento	recuperacion	7.91
tipo	clase	8.97
victima	emergencia	6.47
video	archivo	6.34
espectador	serial	2.97
vodka	brandy	8.13
vodka	ginebra	8.46
voluntario	lema	2.56
guerra	tropas	8.13
agua	filtracion	6.56
arma	secreto	6.06
tiempo	pronostico	8.34
miercoles	noticias	2.22
madera	forestales	7.73
palabra	similitud	4.75
